SMILES	odor
CCCC(=O)OCC(C)C1=CC=CC=C1	sweet
CCCC(=O)OCC(C)C1=CC=CC=C1	fruity
CCCC(=O)OCC(C)C1=CC=CC=C1	rummy
CCCC(=O)OCC(C)C1=CC=CC=C1	apricot
C(=O)O	pungent
C(=O)O	acetic
C(=O)O	vinegar
C(=O)O	sharp
C(=O)O	fruity
C(=O)O	fermented
C(=O)O	penetrating
C(C(=CC(=O)O)C(=O)O)C(=O)O	nutty
C(C(=CC(=O)O)C(=O)O)C(=O)O	musty
C(C(=CC(=O)O)C(=O)O)C(=O)O	vegetable
C(C(=CC(=O)O)C(=O)O)C(=O)O	dry
C(C(=CC(=O)O)C(=O)O)C(=O)O	toasted
C(C(=CC(=O)O)C(=O)O)C(=O)O	vegetable
C(C(=CC(=O)O)C(=O)O)C(=O)O	musty
C(C(=CC(=O)O)C(=O)O)C(=O)O	nutty
C(C(=CC(=O)O)C(=O)O)C(=O)O	caramel
C(C(=CC(=O)O)C(=O)O)C(=O)O	dry
C(C(=CC(=O)O)C(=O)O)C(=O)O	toasted
C(C(=O)C(=O)[O-])S.[Na+]	faint
C(C(=O)C(=O)[O-])S.[Na+]	sulfurous
C(C(=O)C(=O)[O-])S.[Na+]	cheese
C(C(=O)C(=O)[O-])S.[Na+]	meaty
C(C(=O)C(=O)O)O	sour
C(C(=O)C(=O)O)O	radish
C(C(=O)C(=O)O)O	cabbage
C(C(=O)CO)O	minty
C(C(=O)CO)O	characteristic
C(C(=O)O)C(CC(=O)O)(C(=O)O)O	lemon
C(C(C(=O)O)N)S	sulfurous
C(C(C(=O)O)O)(C(=O)O)O	mild
C(C(C(=O)O)O)(C(=O)O)O	caramel
C(C(C(C(C(CO)O)O)O)O)O	sweet
C(C(C(C(C(CO)O)O)O)O)O	caramel
C(C(C(C(C=O)O)O)O)O	woody
C(C(C1C(=C(C(=O)O1)O)O)O)O	grassy
C(C(C1C(=C(C(=O)O1)O)O)O)O	mild
C(C(C1C(=C(C(=O)O1)O)O)O)O	green
C(C(C1C(=C(C(=O)O1)O)O)O)O	grassy
C(C(C1C(=C(C(=O)O1)O)O)O)O	mild
C(C=O)S	cabbage
C(CC(=O)N)C(C(=O)O)N	milky
C(CC(=O)N)C(C(=O)O)N	custard
C(CC(=O)N)C(C(=O)O)N	cocoa
C(CC(=O)N)C(C(=O)O)N	oily
C(CC(=O)O)C(=O)O	acidic
C(CC(=O)O)C(=O)O	sour
C(CC(=O)O)C(C(=O)O)N	bready
C(CC(=O)O)C(C(=O)O)N	yeasty
C(CC(=O)O)CN	savory
C(CC(=O)O)CN	meaty
C(CC(C(=O)O)N)CN.Cl	green
C(CC(C(=O)O)N)CN.Cl	sweet
C(CC(C(=O)O)N)CN.Cl	cortex
C(CC(C(=O)O)N)CN=C(N)N	faint
C(CC=O)CC=O	medicinal
